,Pearson,MutualInfo,F_Score,RF_Importance,LASSO,SCORE_FINAL
bmi_smoker,1.0,0.35627412793318874,1.0,0.8327928992026773,0.6595145526673961,0.7697163159606524
age,0.7708436135750922,1.0,0.4477116242946096,1.0,0.539623373664217,0.7516357223067838
smoker_enc,0.97318743427455,0.24416233462263381,0.9081642625267333,0.13305776179356407,1.0,0.6517143586434962
age_smoker,0.9381846600055476,0.34998122473099363,0.8023555048805447,0.22303746342751943,0.5023779829204709,0.5631873671930153
age_group_senior,0.6331178141883752,0.303183734638712,0.2707451298116285,0.0023725324424684223,0.003321010306553173,0.24254804427754745
age_group_young,0.6252422090956332,0.2570257875724062,0.26267485135636914,0.0017406899110596538,0.0,0.22933670758709362
children,0.255475699133661,0.10944357640190865,0.038093301843580785,0.13949765067472028,0.12039530559830246,0.13258110673043463
bmi,0.17871381177506704,0.04470663581405861,0.018661826221982872,0.20595399621770363,0.043219936670023044,0.09825124133976705
bmi_category_obese,0.17973654884764728,0.06729561096307411,0.018873336336871986,0.0079637494080532,0.09536526779129068,0.07384690266938745
age_group_middle,0.019909228798791118,0.2297978907774106,0.0003284721633141624,0.004201813846265543,0.017056211800109997,0.05425872347717829
bmi_category_underweight,0.11347788056778789,0.0,0.007693805092673755,0.0,0.1310080064612962,0.05043593842435157
region_northeast,0.05722362617340302,0.03319901850707819,0.0021086070532657705,0.023198449297130573,0.09452497056758423,0.042050934319692354
sex_female,0.0,0.09490889306067316,6.146200767458247e-20,0.017286560637621955,0.07677603124373104,0.03779429698840523
bmi_category_normal,0.10465249332449177,0.02496544960602814,0.006584079456184326,0.010251916434086945,0.0025357417038135524,0.02979793610492094
region_northwest,0.033937520492529585,0.029709902620701847,0.0008192035251416206,0.020726736593852095,0.05718497850367511,0.02847566834718005
bmi_category_overweight,0.0764291857308376,0.027662910605048555,0.003620357127647977,0.009549271596731591,0.000889936115480072,0.02363033223514916
sex_male,1.4288132418573833e-17,0.09490889306067316,0.0,0.018305147436896433,0.0,0.02264280809951392
region_southwest,0.05217713048318426,0.009972076397417838,0.001778738949598989,0.01305491822199424,0.018140562666193658,0.019024685343677798
region_southeast,0.028918650134402896,0.01939442840222974,0.0006189766058932354,0.015908636313892676,0.0009342000846955038,0.013154978308222811
